population,minimum_age,maximum_age,gender,zipcode,geo_id
11,85.0,nan,male,58032,8600000US58032
1428,45.0,49.0,female,62269,8600000US62269
1267,55.0,59.0,male,90278,8600000US90278
1007,5.0,9.0,female,33547,8600000US33547
21,20.0,20.0,male,70051,8600000US70051
1064,22.0,24.0,female,14215,8600000US14215
5,75.0,79.0,female,50612,8600000US50612
20,21.0,21.0,female,70723,8600000US70723
1813,30.0,34.0,male,60628,8600000US60628
38,80.0,84.0,male,16051,8600000US16051
41,55.0,59.0,female,24245,8600000US24245
19,20.0,20.0,female,50169,8600000US50169
389,18.0,19.0,female,93280,8600000US93280
35,22.0,24.0,male,59632,8600000US59632
63,15.0,17.0,female,1083,8600000US01083
62,22.0,24.0,male,47346,8600000US47346
8,15.0,17.0,female,46393,8600000US46393
59,67.0,69.0,female,65338,8600000US65338
774,0.0,4.0,female,33914,8600000US33914
145,45.0,49.0,female,80759,8600000US80759
73,25.0,29.0,female,65745,8600000US65745
89,15.0,17.0,male,44865,8600000US44865
27,22.0,24.0,male,46058,8600000US46058
586,75.0,79.0,female,85119,8600000US85119
57,55.0,59.0,female,70353,8600000US70353
10,20.0,20.0,male,50629,8600000US50629
10,67.0,69.0,female,73625,8600000US73625
1,65.0,66.0,male,15053,8600000US15053
17,75.0,79.0,male,74041,8600000US74041
8857,nan,nan,nan,95988,8600000US95988
18979,nan,nan,female,43551,8600000US43551
23,15.0,17.0,male,52584,8600000US52584
31,35.0,39.0,male,12491,8600000US12491
243,65.0,66.0,female,11795,8600000US11795
1177,40.0,44.0,male,75208,8600000US75208
2050,nan,nan,male,12871,8600000US12871
346,75.0,79.0,male,44039,8600000US44039
24,20.0,20.0,male,97392,8600000US97392
74,15.0,17.0,male,35033,8600000US35033
133,30.0,34.0,male,54126,8600000US54126
23,0.0,4.0,female,71404,8600000US71404
36,80.0,84.0,male,24317,8600000US24317
261,65.0,66.0,female,96821,8600000US96821
131,18.0,19.0,female,6239,8600000US06239
13,40.0,44.0,female,27879,8600000US27879
196,15.0,17.0,female,64078,8600000US64078
5,21.0,21.0,female,26717,8600000US26717
7,50.0,54.0,female,67478,8600000US67478
955,35.0,39.0,female,19119,8600000US19119
23,0.0,4.0,female,20608,8600000US20608
7,80.0,84.0,female,58845,8600000US58845
21,21.0,21.0,female,17062,8600000US17062
11,85.0,nan,female,67843,8600000US67843
230,80.0,84.0,female,89145,8600000US89145
8174,nan,nan,female,33187,8600000US33187
9,75.0,79.0,male,72718,8600000US72718
928,55.0,59.0,male,93637,8600000US93637
2,67.0,69.0,male,49903,8600000US49903
17,22.0,24.0,female,32625,8600000US32625
19,15.0,17.0,female,62311,8600000US62311
16,75.0,79.0,male,84026,8600000US84026
5,45.0,49.0,female,84018,8600000US84018
1202,45.0,49.0,female,55448,8600000US55448
263,nan,nan,male,56034,8600000US56034
20,0.0,4.0,female,8345,8600000US08345
12,5.0,9.0,female,68406,8600000US68406
29,30.0,34.0,female,99101,8600000US99101
100,0.0,4.0,male,50665,8600000US50665
236,55.0,59.0,female,98388,8600000US98388
14,20.0,20.0,female,38388,8600000US38388
7,80.0,84.0,male,38575,8600000US38575
427,70.0,74.0,male,33065,8600000US33065
17,30.0,34.0,male,24634,8600000US24634
6,40.0,44.0,male,56629,8600000US56629
20,60.0,61.0,male,68644,8600000US68644
312,62.0,64.0,female,75126,8600000US75126
672,70.0,74.0,female,98133,8600000US98133
108,70.0,74.0,female,15530,8600000US15530
1373,nan,nan,male,61561,8600000US61561
17,40.0,44.0,female,62874,8600000US62874
158,70.0,74.0,male,27539,8600000US27539
41,67.0,69.0,female,29450,8600000US29450
15,67.0,69.0,male,35647,8600000US35647
1118,45.0,49.0,male,46224,8600000US46224
171,15.0,17.0,male,56347,8600000US56347
6,10.0,14.0,female,83462,8600000US83462
33,65.0,66.0,female,15697,8600000US15697
424,55.0,59.0,female,96790,8600000US96790
9,65.0,66.0,female,12851,8600000US12851
59,21.0,21.0,female,75633,8600000US75633
56,22.0,24.0,male,41844,8600000US41844
34,55.0,59.0,male,87578,8600000US87578
17384,nan,nan,male,51501,8600000US51501
1229,nan,nan,female,51346,8600000US51346
194,85.0,nan,male,94601,8600000US94601
65,85.0,nan,male,75088,8600000US75088
461,60.0,61.0,female,738,8600000US00738
24,85.0,nan,male,17747,8600000US17747
3,20.0,20.0,male,59006,8600000US59006
636,60.0,61.0,female,77449,8600000US77449
437,18.0,19.0,female,7079,8600000US07079
255,80.0,84.0,female,11415,8600000US11415
199,67.0,69.0,male,75219,8600000US75219
17,65.0,66.0,female,23148,8600000US23148
2,18.0,19.0,male,33854,8600000US33854
181,80.0,84.0,male,90262,8600000US90262
12,45.0,49.0,female,15544,8600000US15544
148,5.0,9.0,female,68763,8600000US68763
2436,18.0,19.0,female,1003,8600000US01003
7,22.0,24.0,female,71326,8600000US71326
557,55.0,59.0,female,63050,8600000US63050
185,80.0,84.0,male,70006,8600000US70006
55,62.0,64.0,male,28033,8600000US28033
426,22.0,24.0,male,97471,8600000US97471
19,22.0,24.0,male,61747,8600000US61747
2,60.0,61.0,female,51444,8600000US51444
39,70.0,74.0,female,27231,8600000US27231
8,85.0,nan,female,15368,8600000US15368
84,80.0,84.0,female,24801,8600000US24801
130,21.0,21.0,female,60563,8600000US60563
481,5.0,9.0,female,8028,8600000US08028
67,18.0,19.0,male,23141,8600000US23141
232,0.0,4.0,male,42437,8600000US42437
241,60.0,61.0,male,61081,8600000US61081
266,22.0,24.0,male,33558,8600000US33558
175,0.0,4.0,female,29661,8600000US29661
124,35.0,39.0,female,24963,8600000US24963
